统计: {"total": 860, "too_long": 435, "too_short_dur": 4, "too_long_dur": 0, "multi_line": 0}

[minor] P05_life_fork_deep: 单行19字 > 18: '传奇还在感慨感慨18年的时候为什么不做'
[minor] P05_life_fork_deep: 单行20字 > 18: '18年如果做在那个时间点分岔如果如果没有'
[minor] P05_life_fork_deep: 单行20字 > 18: '不是你自己吗我告诉传奇18年如果你做这个'
[major] P06_uncertainty_deep: 显示时长1.0s < 1.0s: 'm 24 0 l 1091 0 b 11'
[major] P06_uncertainty_deep: 显示时长1.0s < 1.0s: '我执的概念其实我觉得还是还是去'
[minor] H04_fate_crossroad: 单行19字 > 18: '传奇还在感慨感慨18年的时候为什么不做'
[minor] H04_fate_crossroad: 单行20字 > 18: '18年如果做在那个时间点分岔如果如果没有'
[major] H06_invisible_forks: 显示时长1.0s < 1.0s: 'm 24 0 l 1091 0 b 11'
[major] H06_invisible_forks: 显示时长1.0s < 1.0s: '我执的概念其实我觉得还是还是去'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '谈出来什么样的东西而且是'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '只是把我们这期段的思考想法能够聊一聊'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '是所以我们这个节目其实它有个名称'
[veto] P01_borges_and_time: 未勘误 '小径分岔' 应为 '小镜分擦': '叫做小径分岔的花园这个说得再清楚一点'
[veto] P01_borges_and_time: 未勘误 '分岔的花园' 应为 '分擦的花园': '叫做小径分岔的花园这个说得再清楚一点'
[veto] P01_borges_and_time: 未勘误 '分岔' 应为 '分擦': '叫做小径分岔的花园这个说得再清楚一点'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '叫做小径分岔的花园这个说得再清楚一点'
[veto] P01_borges_and_time: 未勘误 '小径分岔' 应为 '小镜分擦': '叫什么小径分岔的花园小径分岔的花园对'
[veto] P01_borges_and_time: 未勘误 '分岔的花园' 应为 '分擦的花园': '叫什么小径分岔的花园小径分岔的花园对'
[veto] P01_borges_and_time: 未勘误 '分岔' 应为 '分擦': '叫什么小径分岔的花园小径分岔的花园对'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '叫什么小径分岔的花园小径分岔的花园对'
[veto] P01_borges_and_time: 未勘误 '小径分岔' 应为 '小镜分擦': '小径分岔的花园这个概念'
[veto] P01_borges_and_time: 未勘误 '分岔的花园' 应为 '分擦的花园': '小径分岔的花园这个概念'
[veto] P01_borges_and_time: 未勘误 '分岔' 应为 '分擦': '小径分岔的花园这个概念'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '小径分岔的花园这个概念'
[veto] P01_borges_and_time: 未勘误 '博尔赫斯' 应为 '博尔赫丝': '其实是博尔赫斯提出来的'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '其实是博尔赫斯提出来的'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '它其实是探讨了一种平行时空或者说'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '所有的可能性同时发生了这么一个故事'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '它接受了一个我们可能平时不太能'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '意识到的一个现状就是说其实你不是'
[veto] P01_borges_and_time: 未勘误 '轨道' 应为 '规道': '活在一个确定了轨道的生活之中'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '活在一个确定了轨道的生活之中'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '其实你的生活随时都有可能充满了'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '不确定性当然大家可能已经意识到了但是'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '我们更多的感受在当下的话'
[veto] P01_borges_and_time: 未勘误 '好像被' 应为 '好人被': '就是觉得我们好像被困住了'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '就是觉得我们好像被困住了'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '有一种被困的感觉这也是我们最近想要去'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '做一个这样谈话的一个一个最直接的原因'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '因为我们希望能通过一种探索性的聊天'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '就是一个闲聊就是一种闲聊'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '它没有任何的目的性但是我们'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '只在通过这个闲聊能够让我们自己能够'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '看到一些可能性然后我们可以对我们'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '生活的一些不确定性做出一个'
[veto] P01_borges_and_time: 未勘误 '置身' 应为 '至生': '置身事外的一个观察产生一个'
[veto] P01_borges_and_time: 未勘误 '置身事外' 应为 '置身室外': '置身事外的一个观察产生一个'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '置身事外的一个观察产生一个'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '通过这个谈话产生一个场域我们叫做'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '能量场能量场在这个能量场里面我们可以'
[veto] P01_borges_and_time: 未勘误 '轨道' 应为 '规道': '先抛开我们固有的任何的生活轨道上的'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '先抛开我们固有的任何的生活轨道上的'
[veto] P01_borges_and_time: 未勘误 '置身' 应为 '至生': '任何的事情我们可以把自己置身于一个'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '任何的事情我们可以把自己置身于一个'
[veto] P01_borges_and_time: 未勘误 '置身' 应为 '至生': '小说之中或者置身于一个剧本之中'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '小说之中或者置身于一个剧本之中'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '不过我们现在'
[veto] P01_borges_and_time: 未勘误 '置身' 应为 '至生': '是置身一个花园的我们现在'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '是置身一个花园的我们现在'
[veto] P01_borges_and_time: 未勘误 '置身' 应为 '至生': '置身的花园之中是我们我们那个'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '置身的花园之中是我们我们那个'
[veto] P01_borges_and_time: 未勘误 '小径分岔' 应为 '小镜分擦': '小径分岔的花园'
[veto] P01_borges_and_time: 未勘误 '分岔的花园' 应为 '分擦的花园': '小径分岔的花园'
[veto] P01_borges_and_time: 未勘误 '分岔' 应为 '分擦': '小径分岔的花园'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '小径分岔的花园'
[veto] P01_borges_and_time: 未勘误 '分岔' 应为 '分擦': '正好分岔到了这么一个阳光明媚的有午后'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '正好分岔到了这么一个阳光明媚的有午后'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '我们可以坐在这里我们忘掉任何的工作'
[veto] P01_borges_and_time: 未勘误 '' 应为 'MP4': '这种生活琐事我们可以去有一种很自由的'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '因为确实是就是从我们个人的这个'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '还比较短的这么一个人生经历来看的话'
[veto] P02_time_bifurcation_deep: 未勘误 '分岔' 应为 '分擦': '其实在我们生命当中也出现了蛮多的分岔'
